item_id,name,stock_count
E4YVN74R4EAD6,Alderfer Eggs 18,-8.0
A6Y1EQHPVG8TW,Lil' Dipper Union Brewing 12 fl.oz,-2.0
FWBZTS14S61TC,Hendrick's Gin 750ml,-1.0
MNK5HZ4KRWJQ4,Sparkling Ice Caffeine 16 fl oz,-3.0
S3V39EKWD33C2,Bulgogi,-1.0
7ZHC75P0B4TEG,Liquid I.V.0.56oz,-3.0
4GCY6YR0775RR,Jonnie Walker Blk 750ml,-6.0
3CGF68BZ9XDGM,Amaretto Mazzetti 700ml,-2.0
QK8QWP0MXBQ14,Gatorade Glacier Freeze Zero 28 Oz,-44.0
Y84BTER11N4P2,Fontina 5 Oz,-5.0
0GJGE03B8EFWE,Atlantic,-2.0
6TB1A7SADCEFE,Strawberry,-13.0
37XMY3RAQ2PXE,Mountain Dew Diet 2l,-1.0
81B4NZHMSYV0G,Oreo Double Stuffed 4.1 Oz,-7.0
DXQT2Q6THEDMW,Bai Sao Paulo St. Lemonade,-22.0
8QS6CWVHP2ED4,G&G Whole Strawberry,-5.0
0Y5N0KMQNRR92,Pain Au Chocolat,-7.0
9ZDWJ1FJFYDAY,Meiomi Pinot Noir California 750 Ml,-19.0
6KFNM9GPKNHKT,Imperial Dragon Sesame Seed Oil 5 Fl Oz,-9.0
T0Z1V4XVSXWP6,Liquid Death,-6.0
4AS4SJ35TNRZE,Dawn Ultra Original Scent Ez-Squeeze Dishwashing Liquid Dish Soap - 14.7 Fl Oz,-38.0
N1381PFRETN8E,V8 Energy Peach Mango,-2.0
1MT2999NQ52KY,Dove Shampoo Daily Moisture,-3.0
69RD2RRZZ9AAY,ICE Starburst Sparking 17oz,-21.0
Q3WPY74P5PJBG,LaCroix Tangerine  Sparking Water 12 Pack,-68.0
DVFBZ4E3XTKQM,Mushroom (White),-1.0
DHAAS50HF7BMP,Mushroom (Brown),-2.0
HM9013FCJP8TG,Iceburg Lettuce,-6.0
BCJVE5D1PCC5E,Jalapeno,-65.0
HTS67JBXPA7MT,Orange (Large),-50.0
PEMQ1F7E05W7C,Ruffles Potato Chips Jalapeno Ranch Flavored 2 1/2 Oz,-32.0
3YDAYRZD92Z3T,Blueberry,-29.0
87AZMMT1BBKAP,Original Earphone,-1.0
51KFN56KSNWPA,ommegang farm fresh ale honey,-7.0
4CAWHBBC8917E,Karas Wines Red Dry Wine 2020 750 ML,-4.0
HM4DRV3DZNP4P,Hormel Chunky Beef Chili With No Beans 15 Oz. Can,-6.0
TZG9PWQ6GWD3G,Heinz Dill Relish | 12.7 Fl Oz Bottle,-3.0
8JP1PQKKX3W76,Kewpie Mayo,-4.0
12XTQ8DRJPWEA,Part Skim Ricotta Cheese - Happy Farms,-16.0
AF2YHJ3KFK4K8,Frusan Blueberries,-1.0
4TCBZNCS31D8Y,Cauliflower,-6.0
45QXGK1VGM4JY,Duracell CopperTop Alkaline C Batteries 2/Pack MN1,-10.0
PYDV75B7H1Z8R,Duracell Coppertop AAA Batteries - 4 Pack Alkaline Battery,-4.0
C55VKHBZ888PA,Spring Tree Pure Maple Syrup - 8.5 Fl Oz,-1.0
G2MXR0NERPQKW,Plain Bagels,-45.0
Z8ESTT9X6H5R6,Chick-Fil-A Dipping Sauce 16 Fl Oz Squeeze Bottle,-6.0
BSHYASE8HVQH4,Tomato (Small),-61.0
9M7A5AFAE6524,Nongshim Bowl | Beef Flavor Noodle Soup - 3.03 Oz,-4.0
F3TRH3EYYF0HJ,Ben's Original Coconut Jasmine Ready Rice,-2.0
RKCD04K4X26BA,Ben & Jerry's Chubby Hubby Ice Cream 1 Pt. Carton,-35.0
1JEFD2RW27HTE,Gold Peak Georgia Peach Tea Bottle | 18.5 Fl Oz,-14.0
YW72V3GCGVGZ0,La Colombe,-8.0
BDRYES7VVHQZ0,20 Mule Team Borax Detergent Booster & Multi Purpose Household Cleaner 65 Oz. Box,-2.0
94W6TKZS06ER6,Halls Relief Strawberry Flavor Cough Suppressant & Oral Anesthetic Drops 9 Ct Pack,-5.0
8W2N3SJW2NB7W,Ritz Toasted Chips - Sour Cream & Onion - 8.1oz,-20.0
29TH6FG4GZYWM,One Hope Cab Sauvignon,-9.0
PQM5Q1MDQNV9R,Coca-Cola Bottle | 1.25 Liters,-6.0
CV588Q053A3JT,Cheetos Crunchy Flamin' Hot Limon Cheese Flavored Snacks,-3.0
XKRMT80VEETT4,Cucumber (English),-37.0
T2PWQGPPND7KT,Olipop 12oz Root Beer,-84.0
ZSA9QV4409KPA,Cascadian Farm Organic Cinnamon Crunch Breakfast Cereal - 9.2oz,-17.0
7BATC64BCPZD4,Hood Heavy Cream 16 Fl. Oz. Carton,-40.0
M4D3M1B62N3K4,Tropicana Some Pulp 11 Oz,-24.0
FFXGPMB3DQ0G2,La Colombe Cold Brew,-92.0
6G6MEVQDPBQ22,Kellogg's Frosted Flakes Original Cereal,-11.0
TKM6HHAQV92B2,Essentia Bottled Water | 1.5 Liter Bottle | Ionized Alkaline Water,-66.0
X2T5NXGCWWJDA,Giorgio Fresh Mushrooms,-23.0
N6KRTVB76W3NE,Hefty Ultra Strong Multipurpose Large Trash Bags | 30 Gallon | 20 Bags (Scent Free | Drawstring),-2.0
JRK474AE9N6WY,Prime Hydration Berry Freeze 16.9oz,-26.0
