item_id,name,stock_count
HRE81Y9NF009Y,Phillips' Milk Of Magnesia 12 fl oz,
CG6GPNR5WC0GA,LORA Organic Tempranillo & Syrah 750ml,
2RJ4KH3AWG7CC,Monkey in Paradise Vodka 750ml,
SSRJCCCNTY8T8,Sir Edwards's Blended Scotch Whiskey 700ml,
2412HM706RRFR,Anee Calvados Fine 700,
RN818CDY75A0J,Wd 40 Smart Straw Spray Lubricant | 8 Oz Aerosol Can,
RV58W2VYAA5Y0,Swan Rubbing Alcohol | Isopropyl | 70% | With Wintergreen And Glycerin,
M6SFHWN9CHZC8,Denizens Cool Breeze Stout,
R49YVE8M0C3FG,Classico Roasted Garlic Pasta Sauce | 24 Oz Jar,
3YP6AZZ1V46DJ,California Sun Dry Dried Julienne Cut Tomatoes With Herbs,
NK5W6Y936RQJG,Beneful Purina With Real Chicken Healthy Puppy Dry Dog Food,
B0A1TBJJSB2YY,Game Blue Natural Leaf Cigarillo,
0X0V7X1GN84RY,Gain Liquid Laundry Detergent | Original Fresh | 25 Oz Bottle,
BMBMKDYX208X0,diet pepsi 12oz,
4DWH9JBG0BATR,Carmex Classic Lip Balm 0.35 Oz,
REVCXSBYEGBAE,Bauducco Panettone Mini Chocolate Chips 2.8oz,
8959QHCDA3QHE,Lost Rhino Final Glide Hefeweizen 6c,
TBGCZZX1E1NGA,LF Deli Rolls,
TKYMJS55RJDKY,9di Dante Extra Dry Vermouth 750ml,
T3W6F68VWJWVA,Patron Teq Reposado 80 375ml,
JXBR4S50Z2AER,Updated Item Name,
9GV70QDV3WKD2,TEST_ITEM_1,
3D1EF93XVMSSY,ChapStick Classic Classic Medicated Lip Balm Tube | 0.15 Oz,
RSX57D2AKJNHP,ChapStick Classic Supermint Flavor Skin Protectant Flavored Lip Balm Tube | 0.15 Oz,
P3CPWVSYF5YXW,Ritter Sport Dark Chocolate With Whole Hazelnuts- 3.5oz,
CJ742B67ZF1F0,Dove Body Wash Deep Moisture 20oz,
CJKBMX495F1CA,belVita Chocolate Breakfast Biscuits - 5 Packs,
NE14VNQWE5SGJ,Iberia Black Beans 16 Oz,
S7P0BZFBM2MEW,Nail Clipper,
JNQYNNQSSQMM6,Coppertone S Sport spf50,
5GMDN6T69VSG0,Mt.Olive Koshet Petite Dills 46oz,
2EK8463EKKDW0,Hunts Tomato Puree 29oz,
BA6NF7NN9SBGW,Fruity Pebbles,
KAXMEZBR0X5P8,Sunsweet Prune Juice,
FJC11CPMZYRFE,Aslin Double Orange Starfish,
NGZ5BB6TYPQK0,Gift card,
DXNTHMY4TEKDR,Sweet Baby Ray Buffalo Wing Sauce 16oz,
0FK1BEPCX3D1C,Powerade Fruit Punch 20oz,
W053X1ZEVHPW2,Doritos Brazin' Buffalo And Ranch,
KVHX29NRWR22E,Banana Sport SS  50,
DVZX020VH8XPP,Ziploc Sandwich Bags,
EBTXPGC289JXY,Woolite Delicates Wash Liquid Laundry Detergent,
